letter,position,percent1,delta,x,y
y,4,0.058823529,0.019607843,1,9
h,2,0.12244898,0.06122449,4,6
f,8,0.14,0.02,5,5
h,2,0.285714286,0.12244898,7,5
d,4,0.257575758,0.045454545,4,10
c,8,0.181818182,0.113636364,8,1
f,2,0.26,0.04,4,6
v,6,0.236842105,0.078947368,5,3
e,6,0.3125,0.0625,4,4
i,4,0.033333333,0.033333333,1,2
l,8,0.266666667,0.066666667,5,3
g,8,0.179487179,0.012820513,3,7
i,4,0.033333333,0.033333333,0,5
b,8,0.283333333,0.066666667,6,3
b,2,0.25,0.05,5,8
f,2,0.26,0.02,5,4
e,2,0.041666667,0.020833333,2,3
d,6,0.227272727,0.03030303,3,5
n,5,0.055555556,0.055555556,5,0
k,6,0.031746032,0.015873016,0,11
m,6,0.04109589,0.01369863,0,8
v,4,0.263157895,0.078947368,5,3
p,4,0.151515152,0.075757576,4,1
t,6,0.189189189,0.027027027,1,7
l,6,0.2,0.033333333,2,5
c,2,0.136363636,0.022727273,3,5
o,2,0.32,0.1,7,3
z,8,0.209302326,0.046511628,5,3
i,2,0.233333333,0.066666667,5,3
x,2,0.14893617,0.063829787,5,2
s,6,0.279069767,0.046511628,2,6
u,3,0.255319149,0.106382979,0,7
s,2,0.186046512,0.046511628,3,4
i,2,0.166666667,0.1,5,2
g,2,0.205128205,0.025641026,4,4
e,2,0.208333333,0.104166667,8,2
h,8,0.204081633,0.040816327,4,4
j,8,0.214285714,0.047619048,3,4
a,8,0.22,0.1,5,2
b,6,0.216666667,0.033333333,3,6
k,6,0.238095238,0.031746032,2,7
q,8,0.28358209,0.089552239,9,3
v,6,0.026315789,0.026315789,1,7
q,4,0.089552239,0.014925373,1,5
d,8,0.060606061,-0.818181818,8,0
g,4,0.256410256,0.076923077,9,2
r,6,0.148148148,0.148148148,4,1
a,1,0.26,0.18,8,0
w,8,0.089552239,0.029850746,5,2
g,7,0.064102564,0.064102564,0,5
x,8,0.063829787,0.021276596,2,2
p,2,0.060606061,0.015151515,1,4
c,6,0.204545455,0.045454545,2,5
c,2,0.25,0.136363636,7,2
p,2,0.196969697,0.03030303,2,6
h,4,0.244897959,0.020408163,2,11
f,2,0.14,0.08,4,2
f,2,0.2,0.12,6,2
o,2,0.32,0.06,3,6
w,7,0.194029851,0.089552239,0,7
u,6,0.255319149,0.042553191,5,3
q,4,0.119402985,0.014925373,1,7
u,4,0.042553191,0.042553191,1,1
e,6,0.3125,0.145833333,8,2
q,2,0.089552239,-0.791044776,8,0
n,6,0.166666667,0.166666667,8,1
e,2,0.208333333,0.104166667,8,2
l,2,0.2,0.1,4,2
x,6,0.191489362,0.191489362,8,1
e,8,0.229166667,0.041666667,5,3
p,6,0.181818182,0.03030303,8,2
r,8,0.111111111,0.037037037,4,2
h,2,0.183673469,0.102040816,6,5
t,8,0.054054054,-0.918918919,5,0
f,8,0.16,0.06,3,11
e,2,0.208333333,0.104166667,7,2
n,6,0.296296296,0.055555556,2,7
w,1,0.029850746,0.029850746,6,0
c,2,0.204545455,0.022727273,4,5
w,8,0.164179104,0.044776119,3,8
f,6,0.18,0.04,2,7
t,4,0.324324324,0.081081081,3,4
v,6,0.236842105,0.078947368,5,3
s,6,0.302325581,0.093023256,5,2
a,2,0.08,0.04,4,2
y,4,0.156862745,0.039215686,3,2
w,6,0.134328358,0.044776119,4,4
e,6,0.166666667,0.104166667,6,1
d,8,0.060606061,-0.696969697,7,0
c,4,0.272727273,0.090909091,5,3
c,2,0.113636364,0.113636364,7,1
q,2,0.119402985,0.059701493,5,1
u,6,0.042553191,-0.382978723,4,0
a,4,0.08,0.02,1,6
k,8,0.222222222,0.031746032,5,4
o,8,0.04,0.04,3,1
j,4,0.071428571,0.047619048,2,1
l,2,0.2,0.033333333,2,6
m,4,0.164383562,0.164383562,13,1
p,4,0.212121212,0.03030303,3,4
w,8,0.029850746,0.014925373,1,8
i,8,0.2,0.066666667,4,2
k,4,0.206349206,0.047619048,6,4
b,6,0.25,0.033333333,3,7
t,8,0.108108108,0.027027027,1,7
x,1,0.212765957,0.127659574,8,0
d,4,0.151515152,0.045454545,8,3
d,8,0.075757576,0.015151515,2,3
z,4,0.209302326,0.023255814,3,4
f,2,0.2,0.02,3,12
l,6,0.133333333,0.133333333,5,1
x,6,0.212765957,0.021276596,3,4
r,4,0.111111111,0.037037037,1,8
v,4,0.105263158,0.105263158,5,1
z,8,0.209302326,0.046511628,5,3
f,2,0.04,0.04,3,1
k,8,0.079365079,0.031746032,3,2
y,8,0.039215686,0.019607843,2,8
z,2,0.139534884,0.139534884,7,1
g,2,0.141025641,0.064102564,6,1
u,4,0.234042553,0.021276596,2,8
u,5,0.234042553,0.170212766,7,0
v,6,0.236842105,0.078947368,5,3
y,8,0.31372549,0.039215686,8,4
x,6,0.319148936,0.14893617,7,2
p,8,0.121212121,0.03030303,7,2
j,6,0.30952381,0.023809524,1,14
x,4,0.191489362,0.042553191,3,3
g,6,0.256410256,0.08974359,9,2
w,4,0.208955224,0.089552239,9,2
d,2,0.045454545,0.045454545,5,1
m,2,0.082191781,0.01369863,2,6
r,8,0.185185185,0.037037037,4,4
m,6,0.04109589,0.04109589,2,1
c,2,0.181818182,0.068181818,4,3
s,6,0.069767442,0.023255814,1,2
o,8,0.16,0.12,8,1
m,6,0.273972603,0.095890411,13,2
k,6,0.063492063,0.015873016,1,3
j,8,0.30952381,0.023809524,2,14
i,4,0.166666667,0.1,4,2
d,4,0.106060606,0.03030303,6,3
r,1,0.074074074,0.074074074,6,0
n,6,0.203703704,0.055555556,4,3
t,2,0.108108108,0.054054054,2,3
d,2,0.227272727,0.045454545,4,5
r,6,0.259259259,0.074074074,3,3
w,6,0.104477612,0.059701493,11,1
x,8,0.170212766,0.170212766,8,1
y,6,0.274509804,0.039215686,8,3
u,4,0.14893617,0.063829787,4,2
f,2,0.28,0.08,8,3
u,8,0.063829787,-0.446808511,5,0
g,2,0.102564103,0.025641026,3,2
u,4,0.085106383,0.085106383,3,1
r,8,0.296296296,0.074074074,6,3
w,6,0.089552239,0.044776119,6,2
t,4,0.189189189,0.027027027,1,7
v,8,0.105263158,0.052631579,5,1
b,4,0.116666667,0.066666667,5,2
z,8,0.209302326,0.093023256,6,2
c,4,0.272727273,0.045454545,2,7
